nom,epoque_utc,demi_grand_axe_km,excentricite,inclinaison_deg,noeud_ascendant_deg,argument_perigee_deg,anomalie_vraie_deg
CELESTIS-02 & TAURUS R/B,2025-09-01T06:56:39.300864Z,7195.5130767609435,0.0063656,108.008,109.1155,267.1472,190.58013521984037
CELESTIS-02 & TAURUS R/B,2025-09-01T13:30:10.684224Z,7195.5124933071675,0.0063659,108.0079,109.6671,266.6914,150.39586657001482
CELESTIS-02 & TAURUS R/B,2025-09-01T21:43:22.432800Z,7195.512108834801,0.0063655,108.0078,110.3585,266.123,104.48169632361731
CELESTIS-02 & TAURUS R/B,2025-09-02T13:10:32.824128Z,7195.510662005042,0.0063642,108.0077,111.6581,265.0515,160.92609994840097
CELESTIS-02 & TAURUS R/B,2025-09-03T20:58:48.753696Z,7195.509356823575,0.0063619,108.0074,114.333,262.8473,106.93975547785091
CELESTIS-02 & TAURUS R/B,2025-09-04T05:51:25.538976Z,7195.5088947827335,0.0063614,108.0073,115.0796,262.2404,199.88997895310624
CELESTIS-02 & TAURUS R/B,2025-09-04T15:39:40.980096Z,7195.508095485977,0.0063619,108.0071,115.9041,261.5612,132.44876548623586
CELESTIS-02 & TAURUS R/B,2025-09-05T07:09:14.043744Z,7195.507319797354,0.0063603,108.007,117.2071,260.4907,197.06098799744913
CELESTIS-02 & TAURUS R/B,2025-09-05T13:42:43.750080Z,7195.506847639164,0.0063603,108.0069,117.7587,260.0348,156.78614537724977
CELESTIS-02 & TAURUS R/B,2025-09-05T21:55:53.146848Z,7195.506645285677,0.0063588,108.0068,118.4499,259.4683,110.78170762624043
CELESTIS-02 & TAURUS R/B,2025-09-06T06:48:53.250624Z,7195.505859479774,0.0063579,108.0067,119.1971,258.8561,205.075389618982
CELESTIS-02 & TAURUS R/B,2025-09-06T15:04:54.801120Z,7195.505421047389,0.0063578,108.0066,119.8924,258.2822,169.3297306887932
CELESTIS-02 & TAURUS R/B,2025-09-07T06:25:49.575360Z,7195.504837595164,0.0063557,108.0065,121.1833,257.2167,203.55922044123457
CELESTIS-02 & TAURUS R/B,2025-09-07T21:11:21.766848Z,7195.5042237900625,0.0063557,108.0063,122.4245,256.1935,113.38335648583667
CELESTIS-02 & TAURUS R/B,2025-09-08T06:04:18.268608Z,7195.503771867708,0.0063546,108.0063,123.1715,255.5799,207.45128692846288
CELESTIS-02 & TAURUS R/B,2025-09-08T10:58:17.563008Z,7195.503498690797,0.006355,108.0062,123.5836,255.2378,173.2641219412276
CELESTIS-02 & TAURUS R/B,2025-09-08T22:31:33.617856Z,7195.503249121789,0.0063536,108.0061,124.5554,254.4378,118.99240084443373
CELESTIS-02 & TAURUS R/B,2025-09-09T07:21:58.900608Z,7195.5028579055515,0.0063523,108.006,125.2988,253.8249,204.17045112041143
CELESTIS-02 & TAURUS R/B,2025-09-09T13:55:12.597024Z,7195.502635317026,0.0063523,108.0059,125.85,253.3705,162.95731731818125
CELESTIS-02 & TAURUS R/B,2025-09-10T03:55:32.094624Z,7195.50214629684,0.0063507,108.0058,127.0278,252.3993,270.1120764503056
CELESTIS-02 & TAURUS R/B,2025-09-10T10:43:29.154144Z,7195.50191021816,0.0063509,108.0057,127.5996,251.9315,280.74744552357345
CELESTIS-02 & TAURUS R/B,2025-09-10T13:36:26.722080Z,7195.50176857096,0.0063509,108.0057,127.8421,251.7315,176.52976165749328
CELESTIS-02 & TAURUS R/B,2025-09-11T03:30:30.888576Z,7195.50121209989,0.0063491,108.0056,129.0111,250.7658,261.620318968996
CELESTIS-02 & TAURUS R/B,2025-09-11T14:54:05.062752Z,7195.500659001477,0.0063485,108.0055,129.9692,249.9776,173.11986102065293
CELESTIS-02 & TAURUS R/B,2025-09-12T14:22:34.489920Z,7195.499987863912,0.0063471,108.0052,131.9434,248.3519,141.90818877668505
CELESTIS-02 & TAURUS R/B,2025-09-12T22:43:56.649216Z,7195.49991366781,0.006346,108.0052,132.6461,247.7723,124.86707646561909
CELESTIS-02 & TAURUS R/B,2025-09-13T02:49:17.323104Z,7195.499718059909,0.006345,108.0051,132.99,247.4874,275.96421448312776
CELESTIS-02 & TAURUS R/B,2025-09-13T22:21:34.108992Z,7195.499067157859,0.0063435,108.005,134.6331,246.1333,125.76874516664037
CELESTIS-02 & TAURUS R/B,2025-09-14T04:05:11.377248Z,7195.498736648066,0.0063416,108.0049,135.1147,245.7342,266.33107960995477
CELESTIS-02 & TAURUS R/B,2025-09-14T13:48:35.462016Z,7195.498389275568,0.0063409,108.0048,135.9324,245.0604,181.54462029964853
CELESTIS-02 & TAURUS R/B,2025-09-15T03:43:04.692288Z,7195.496305041466,0.0063388,108.0047,137.102,244.0919,268.1844871455973
CELESTIS-02 & TAURUS R/B,2025-09-15T15:06:18.342144Z,7195.497181903526,0.0063377,108.0046,138.0596,243.302,178.40817074181604
CELESTIS-02 & TAURUS R/B,2025-09-15T18:23:24.532224Z,7195.497057119293,0.0063375,108.0046,138.3358,243.0744,159.51923633310892
CELESTIS-02 & TAURUS R/B,2025-09-15T21:37:10.835040Z,7195.49691884488,0.0063372,108.0046,138.6074,242.8496,128.8620425584169
CELESTIS-02 & TAURUS R/B,2025-09-16T14:42:55.241568Z,7195.496227472912,0.0063357,108.0044,140.045,241.6658,175.7621064098662
CELESTIS-02 & TAURUS R/B,2025-09-16T16:17:45.205152Z,7195.496267943462,0.0063354,108.0044,140.1779,241.5557,153.25094453902284
CELESTIS-02 & TAURUS R/B,2025-09-17T16:02:54.250080Z,7195.4954686502115,0.0063323,108.0043,142.1754,239.9036,180.59453468247395
CELESTIS-02 & TAURUS R/B,2025-09-18T18:57:28.222272Z,7195.494261279394,0.0063294,108.0041,144.4382,238.0348,162.04470409513115
CELESTIS-02 & TAURUS R/B,2025-09-19T03:55:31.341216Z,7195.493846456577,0.0063278,108.004,145.1923,237.4096,274.35314453058464
CELESTIS-02 & TAURUS R/B,2025-09-19T15:17:38.227200Z,7195.493515947383,0.0063274,108.0039,146.1483,236.6233,180.5899982426781
CELESTIS-02 & TAURUS R/B,2025-09-20T03:34:31.037376Z,7195.49294936028,0.0063255,108.0039,147.181,235.7667,280.1528022303363
CELESTIS-02 & TAURUS R/B,2025-09-20T23:08:45.665952Z,7195.491897127389,0.0063217,108.0037,148.8267,234.4004,136.85223100913603
CELESTIS-02 & TAURUS R/B,2025-09-21T06:21:11.877984Z,7195.491249599647,0.0063197,108.0036,149.4328,233.8981,233.47172876436747
CELESTIS-02 & TAURUS R/B,2025-09-21T14:36:26.892576Z,7195.490750463778,0.0063201,108.0035,150.1268,233.3304,194.91898733269036
CELESTIS-02 & TAURUS R/B,2025-09-22T05:59:09.982176Z,7195.489425056114,0.0063152,108.0034,151.42,232.2477,235.60833307606453
CELESTIS-02 & TAURUS R/B,2025-09-22T14:12:22.025376Z,7195.489114782653,0.0063144,108.0033,152.1112,231.6785,189.8501364971445
CELESTIS-02 & TAURUS R/B,2025-09-22T19:10:16.401216Z,7195.488844979668,0.0063137,108.0032,152.5287,231.334,169.43033200679835
